GAS_ZONES,LNG_liquefaction_predet_build_year,LNG_liquefaction_predet_cap,LNG_liquefaction_removed_cap,LNG_liquefaction_total_cap
MI,1979,0,0,0
MI,1980,0,0,0
MI,1981,0,0,0
MI,1982,0,0,0
MI,1983,0,0,0
MI,1984,0,0,0
MI,1985,0,0,0
MI,1986,0,0,0
MI,1987,0,0,0
MI,1988,0,0,0
MI,1989,0,0,0
MI,1990,0,0,0
MI,1991,0,0,0
MI,1992,0,0,0
MI,1993,0,0,0
MI,1994,0,0,0
MI,1995,0,0,0
MI,1996,0,0,0
MI,1997,0,0,0
MI,1998,0,0,0
MI,1999,0,0,0
MI,2000,0,0,0
MI,2001,0,0,0
MN,1965,0,0,0
MN,1966,0,0,0
MN,1967,0,0,0
MN,1968,0,0,0
MN,1969,0,0,0
MN,1970,0,0,0
MN,1971,0,0,0
MN,1972,0,0,0
MN,1973,0,0,0
MN,1974,0,0,0
MN,1975,5781120,0,5781120
MN,1976,0,0,5781120
MN,1977,0,0,5781120
MN,1978,0,0,5781120
MN,1979,0,0,5781120
MN,1980,0,0,5781120
MN,1981,0,0,5781120
MN,1982,0,0,5781120
MN,1983,0,0,5781120
MN,1984,0,0,5781120
MN,1985,0,0,5781120
MN,1986,0,0,5781120
MN,1987,0,0,5781120
MN,1988,0,0,5781120
MN,1989,0,0,5781120
MN,1990,0,0,5781120
MN,1991,0,0,5781120
MN,1992,0,0,5781120
MN,1993,0,0,5781120
MN,1994,0,0,5781120
MN,1995,0,0,5781120
MN,1996,0,0,5781120
MN,1997,0,0,5781120
MN,1998,0,0,5781120
MN,1999,0,0,5781120
MN,2000,0,0,5781120
MN,2001,0,0,5781120
MO,1965,0,0,0
MO,1966,0,0,0
MO,1967,0,0,0
MO,1968,0,0,0
MO,1969,0,0,0
MO,1970,0,0,0
MO,1971,0,0,0
MO,1972,0,0,0
MO,1973,0,0,0
MO,1974,0,0,0
MO,1975,0,0,0
MO,1976,0,0,0
MO,1977,0,0,0
MO,1978,0,0,0
MO,1979,0,0,0
MO,1980,0,0,0
MO,1981,0,0,0
MO,1982,0,0,0
MO,1983,0,0,0
MO,1984,0,0,0
MO,1985,0,0,0
MO,1986,0,0,0
MO,1987,0,0,0
MO,1988,0,0,0
MO,1989,0,0,0
MO,1990,0,0,0
MO,1991,0,0,0
MO,1992,0,0,0
MO,1993,0,0,0
MO,1994,0,0,0
MO,1995,0,0,0
MO,1996,0,0,0
MO,1997,0,0,0
MO,1998,0,0,0
MO,1999,0,0,0
MO,2000,0,0,0
MO,2001,0,0,0
MS,1965,0,0,0
MS,1966,0,0,0
MS,1967,0,0,0
MS,1968,0,0,0
MS,1969,0,0,0
MS,1970,0,0,0
MS,1971,0,0,0
MS,1972,0,0,0
MS,1973,0,0,0
MS,1974,0,0,0
MS,1975,0,0,0
MS,1976,0,0,0
MS,1977,0,0,0
MS,1978,0,0,0
MS,1979,0,0,0
MS,1980,0,0,0
MS,1981,0,0,0
MS,1982,0,0,0
MS,1983,0,0,0
MS,1984,0,0,0
MS,1985,0,0,0
MS,1986,0,0,0
MS,1987,0,0,0
MS,1988,0,0,0
MS,1989,0,0,0
MS,1990,0,0,0
MS,1991,0,0,0
MS,1992,0,0,0
MS,1993,0,0,0
MS,1994,0,0,0
MS,1995,0,0,0
MS,1996,0,0,0
MS,1997,0,0,0
MS,1998,0,0,0
MS,1999,0,0,0
MS,2000,0,0,0
MS,2001,0,0,0
MT,1965,0,0,0
MT,1966,0,0,0
MT,1967,0,0,0
MT,1968,0,0,0
MT,1969,0,0,0
MT,1970,0,0,0
MT,1971,0,0,0
MT,1972,0,0,0
MT,1973,0,0,0
MT,1974,0,0,0
MT,1975,0,0,0
MT,1976,0,0,0
MT,1977,0,0,0
MT,1978,0,0,0
MT,1979,0,0,0
MT,1980,0,0,0
MT,1981,0,0,0
MT,1982,0,0,0
MT,1983,0,0,0
MT,1984,0,0,0
MT,1985,0,0,0
MT,1986,0,0,0
MT,1987,0,0,0
MT,1988,0,0,0
MT,1989,0,0,0
MT,1990,0,0,0
MT,1991,0,0,0
MT,1992,0,0,0
MT,1993,0,0,0
MT,1994,0,0,0
MT,1995,0,0,0
MT,1996,0,0,0
MT,1997,0,0,0
MT,1998,0,0,0
MT,1999,0,0,0
MT,2000,0,0,0
MT,2001,0,0,0
NC,1965,0,0,0
NC,1966,0,0,0
NC,1967,0,0,0
NC,1968,0,0,0
NC,1969,0,0,0
NC,1970,0,0,0
NC,1971,0,0,0
NC,1972,0,0,0
NC,1973,4800,0,4800
NC,1974,0,0,4800
NC,1975,0,0,4800
NC,1976,2880,0,7680
NC,1977,0,0,7680
NC,1978,0,0,7680
NC,1979,0,0,7680
NC,1980,0,0,7680
NC,1981,0,0,7680
NC,1982,0,0,7680
NC,1983,0,0,7680
NC,1984,0,0,7680
NC,1985,0,0,7680
NC,1986,3840,0,11520
NC,1987,0,0,11520
NC,1988,0,0,11520
NC,1989,0,0,11520
NC,1990,0,0,11520
NC,1991,0,0,11520
NC,1992,0,0,11520
NC,1993,0,0,11520
NC,1994,0,0,11520
NC,1995,0,0,11520
NC,1996,0,0,11520
NC,1997,0,0,11520
NC,1998,0,0,11520
NC,1999,19200,0,30720
NC,2000,0,0,30720
NC,2001,0,0,30720
ND,1965,0,0,0
ND,1966,0,0,0
ND,1967,0,0,0
ND,1968,0,0,0
ND,1969,0,0,0
ND,1970,0,0,0
ND,1971,0,0,0
ND,1972,0,0,0
ND,1973,0,0,0
ND,1974,0,0,0
ND,1975,0,0,0
ND,1976,0,0,0
ND,1977,0,0,0
ND,1978,0,0,0
ND,1979,0,0,0
ND,1980,0,0,0
ND,1981,0,0,0
ND,1982,0,0,0
ND,1983,0,0,0
ND,1984,0,0,0
ND,1985,0,0,0
ND,1986,0,0,0
ND,1987,0,0,0
ND,1988,0,0,0
ND,1989,0,0,0
ND,1990,0,0,0
ND,1991,0,0,0
ND,1992,0,0,0
ND,1993,0,0,0
ND,1994,0,0,0
ND,1995,0,0,0
ND,1996,0,0,0
ND,1997,0,0,0
ND,1998,0,0,0
ND,1999,0,0,0
ND,2000,0,0,0
ND,2001,0,0,0
NE,1965,5760,0,5760
NE,1966,0,0,5760
NE,1967,0,0,5760
NE,1968,0,0,5760
NE,1969,0,0,5760
NE,1970,0,0,5760
NE,1971,0,0,5760
NE,1972,0,0,5760
NE,1973,0,0,5760
NE,1974,0,0,5760
NE,1975,0,0,5760
NE,1976,0,0,5760
NE,1977,0,0,5760
NE,1978,0,0,5760
NE,1979,0,0,5760
NE,1980,0,0,5760
NE,1981,0,0,5760
NE,1982,0,0,5760
NE,1983,0,0,5760
NE,1984,0,0,5760
NE,1985,0,0,5760
NE,1986,0,0,5760
