GAS_ZONES,TIMESERIES,LNG_import_ref_quantity
LA,20021115,445040.584897506
FL,20021115,0
MT,20021115,0
ID,20021115,0
GA,20021115,261449.800761652
ME,20021115,0
NH,20021115,0
NY,20021115,0
AZ,20021115,0
TX,20021115,0
MS,20021115,0
MA,20021115,462278.322775402
VT,20021115,0
ND,20021115,0
MI,20021115,0
MN,20021115,0
CA,20021115,0
MD,20021115,360715.800125463
GA,20021116,261449.800761652
ME,20021116,0
MA,20021116,462278.322775402
MD,20021116,360715.800125463
FL,20021116,0
WA,20021116,0
ND,20021116,0
AZ,20021116,0
MT,20021116,0
MS,20021116,0
LA,20021116,445040.584897506
TX,20021116,0
NH,20021116,0
VT,20021116,0
MI,20021116,0
NY,20021116,0
CA,20021116,0
ID,20021116,0
MN,20021116,0
LA,20021117,445040.584897506
ME,20021117,0
TX,20021117,0
VT,20021117,0
ID,20021117,0
WA,20021117,0
CA,20021117,0
ND,20021117,0
MD,20021117,360715.800125463
AZ,20021117,0
FL,20021117,0
MS,20021117,0
MA,20021117,462278.322775402
MN,20021117,0
NY,20021117,0
MT,20021117,0
GA,20021117,261449.800761652
MI,20021117,0
NH,20021117,0
TX,20021118,0
LA,20021118,445040.584897506
FL,20021118,0
MN,20021118,0
GA,20021118,261449.800761652
MI,20021118,0
WA,20021118,0
AZ,20021118,0
MD,20021118,360715.800125463
ME,20021118,0
MS,20021118,0
NH,20021118,0
MA,20021118,462278.322775402
MT,20021118,0
NY,20021118,0
ID,20021118,0
ND,20021118,0
VT,20021118,0
CA,20021118,0
MD,20021119,360715.800125463
WA,20021119,0
NY,20021119,0
TX,20021119,0
AZ,20021119,0
