LNG_ROUTE,LNG_route_gz1,LNG_route_gz2,LNG_route_distance,LNG_flow_allowed
GA_OK,GA,OK,1212.31313117809,1
GA_OR,GA,OR,3536.28658101627,1
GA_PA,GA,PA,997.00777988825,1
GA_RI,GA,RI,1437.46809455635,1
GA_SC,GA,SC,275.628209089301,1
GA_SD,GA,SD,1763.28565699279,1
GA_TN,GA,TN,352.480619981274,1
GA_TX,GA,TX,1299.21781474193,1
GA_UT,GA,UT,2602.91785240736,0
GA_VA,GA,VA,738.745091407736,1
GA_VT,GA,VT,1529.40160025286,0
GA_WA,GA,WA,3512.74908885573,1
GA_WI,GA,WI,1234.88250590415,1
GA_WV,GA,WV,666.800061031559,0
GA_WY,GA,WY,2268.12509319256,1
IA_ID,IA,ID,1814.07506591323,1
IA_IL,IA,IL,394.485043203927,1
IA_IN,IA,IN,603.218166072402,1
IA_KS,IA,KS,484.187344256705,0
IA_KY,IA,KY,808.030781033949,0
IA_LA,IA,LA,1256.77599039225,1
IA_MA,IA,MA,1785.64286794867,1
IA_MD,IA,MD,1406.58635862912,1
IA_ME,IA,ME,1905.42061305268,1
IA_MI,IA,MI,732.496559525437,0
IA_MN,IA,MN,365.201928941086,1
IA_MO,IA,MO,398.520119399908,1
IA_MS,IA,MS,1085.31770386042,1
IA_MT,IA,MT,1546.325658161,1
IA_NC,IA,NC,1360.61232926792,1
IA_ND,IA,ND,779.902016346988,1
IA_NE,IA,NE,366.53947587912,1
IA_NH,IA,NH,1769.59120646571,1
IA_NJ,IA,NJ,1564.92252892992,1
IA_NM,IA,NM,1417.69979570809,1
IA_NV,IA,NV,2058.02172141538,1
IA_NY,IA,NY,1526.70970156346,1
IA_OH,IA,OH,875.944028965278,0
IA_OK,IA,OK,779.361587581759,1
IA_OR,IA,OR,2398.41937929947,1
IA_PA,IA,PA,1350.43979494752,1
IA_RI,IA,RI,1785.58867266257,1
IA_SC,IA,SC,1372.50376448185,1
IA_SD,IA,SD,537.611800818937,1
IA_TN,IA,TN,895.291343490853,1
IA_TX,IA,TX,1288.2908763268,1
IA_UT,IA,UT,1588.3502288171,0
IA_VA,IA,VA,1377.81950816234,1
IA_VT,IA,VT,1658.83581960678,0
IA_WA,IA,WA,2327.40056668284,1
IA_WI,IA,WI,382.345412559703,1
IA_WV,IA,WV,1100.07013081017,0
IA_WY,IA,WY,1152.85104697341,1
ID_IL,ID,IL,2206.5610077106,1
ID_IN,ID,IN,2417.11773096557,1
ID_KS,ID,KS,1687.89542336589,0
ID_KY,ID,KY,2598.71308520808,0
ID_LA,ID,LA,2560.7362778163,1
ID_MA,ID,MA,3519.13066891424,1
ID_MD,ID,MD,3212.5970833745,1
ID_ME,ID,ME,3577.87332747384,1
ID_MI,ID,MI,2490.27323276521,0
ID_MN,ID,MN,1709.25484669907,1
ID_MO,ID,MO,2020.39326246336,1
ID_MS,ID,MS,2567.10759522374,1
ID_MT,ID,MT,416.971532299079,1
ID_NC,ID,NC,3158.21116619461,1
ID_ND,ID,ND,1278.69413087393,1
ID_NE,ID,NE,1498.79267117915,1
ID_NH,ID,NH,3480.93889042133,1
ID_NJ,ID,NJ,3347.35208987194,1
ID_NM,ID,NM,1308.67413160508,1
ID_NV,ID,NV,803.54784014369,1
ID_NY,ID,NY,3290.14772702403,1
ID_OH,ID,OH,2684.15242374129,0
ID_OK,ID,OK,1832.54440301189,1
ID_OR,ID,OR,588.710079944103,1
ID_PA,ID,PA,3141.58135735007,1
ID_RI,ID,RI,3531.24922855146,1
ID_SC,ID,SC,3135.52823694174,1
ID_SD,ID,SD,1292.49014143211,1
ID_TN,ID,TN,2615.28888959982,1
ID_TX,ID,TX,2152.70530529609,1
ID_UT,ID,UT,503.412026148808,0
ID_VA,ID,VA,3191.76413922996,1
ID_VT,ID,VT,3346.78643197472,0
ID_WA,ID,WA,606.489071952417,1
ID_WI,ID,WI,2088.81954116839,1
ID_WV,ID,WV,2914.03527726061,0
ID_WY,ID,WY,681.885178006163,1
IL_IN,IL,IN,219.359260533026,1
IL_KS,IL,KS,757.533497627335,0
IL_KY,IL,KY,470.00183221474,0
IL_LA,IL,LA,1209.18270645771,1
IL_MA,IL,MA,1414.60667255548,1
IL_MD,IL,MD,1012.35382021494,1
IL_ME,IL,ME,1556.41683041011,1
IL_MI,IL,MI,387.023008740211,0
IL_MN,IL,MN,606.054759308895,1
IL_MO,IL,MO,456.147027137336,1
IL_MS,IL,MS,973.850129227651,1
IL_MT,IL,MT,1926.26105763856,1
IL_NC,IL,NC,992.917406452995,1
IL_ND,IL,ND,1100.24320997698,1
IL_NE,IL,NE,747.923220995126,1
IL_NH,IL,NH,1407.64268651752,1
IL_NJ,IL,NJ,1177.18067004303,1
IL_NM,IL,NM,1738.70300726373,1
IL_NV,IL,NV,2438.15751017341,1
IL_NY,IL,NY,1146.71263293704,1
IL_OH,IL,OH,481.765387392527,0
IL_OK,IL,OK,970.774464298608,1
IL_OR,IL,OR,2789.28374039263,1
IL_PA,IL,PA,960.649590495444,1
IL_RI,IL,RI,1409.84958066868,1
IL_SC,IL,SC,1035.87159748224,1
IL_SD,IL,SD,920.639358683036,1
IL_TN,IL,TN,634.901960080289,1
IL_TX,IL,TX,1408.58504247342,1
IL_UT,IL,UT,1978.86459762458,0
IL_VA,IL,VA,985.695520509187,1
IL_VT,IL,VT,1309.15245578275,0
IL_WA,IL,WA,2709.46455987404,1
IL_WI,IL,WI,276.244203433152,1
IL_WV,IL,WV,708.229516259364,0
IL_WY,IL,WY,1547.33169311433,1
IN_KS,IN,KS,897.628110689643,0
IN_KY,IN,KY,273.197623897789,0
IN_LA,IN,LA,1152.15149936315,1
IN_MA,IN,MA,1267.78358531035,1
IN_MD,IN,MD,818.162423493015,1
IN_ME,IN,ME,1435.61162397131,1
IN_MI,IN,MI,347.751783579857,0
IN_MN,IN,MN,821.146869118238,1
IN_MO,IN,MO,546.827471223641,1
IN_MS,IN,MS,892.377079400278,1
IN_MT,IN,MT,2143.5517933555,1
IN_NC,IN,NC,773.874025478831,1
IN_ND,IN,ND,1318.25689064842,1
IN_NE,IN,NE,940.223301883292,1
IN_NH,IN,NH,1273.30221090057,1
IN_NJ,IN,NJ,1004.05678383303,1
IN_NM,IN,NM,1876.03913932206,1
IN_NV,IN,NV,2617.48151864585,1
IN_NY,IN,NY,989.481598473392,1
IN_OH,IN,OH,298.586758970651,0
IN_OK,IN,OK,1057.41517939654,1
IN_OR,IN,OR,3001.62486843559,1
IN_PA,IN,PA,785.163875995294,1
IN_RI,IN,RI,1256.08103007142,1
IN_SC,IN,SC,825.16645496938,1
IN_SD,IN,SD,1136.27047192832,1
IN_TN,IN,TN,483.403333154393,1
IN_TX,IN,TX,1437.30392033168,1
IN_UT,IN,UT,2172.2309208654,0
IN_VA,IN,VA,775.717254999833,1
IN_VT,IN,VT,1191.78587415137,0
IN_WA,IN,WA,2926.37526526724,1
IN_WI,IN,WI,459.069838699893,1
IN_WV,IN,WV,498.224202416708,0
IN_WY,IN,WY,1751.94410359534,1
KS_KY,KS,KY,983.504611573928,0
KS_LA,KS,LA,973.074012559088,0
KS_MA,KS,MA,2161.67485221893,0
KS_MD,KS,MD,1703.60693420539,0
KS_ME,KS,ME,2313.15197167842,0
KS_MI,KS,MI,1142.82241871009,0
KS_MN,KS,MN,787.071250307688,0
KS_MO,KS,MO,370.888387456768,0
KS_MS,KS,MS,902.561365064563,0
KS_MT,KS,MT,1525.06399293656,0
KS_NC,KS,NC,1525.93393348347,0
KS_ND,KS,ND,1015.89111802365,0
KS_NE,KS,NE,310.479835776888,0
KS_NH,KS,NH,2160.65662015769,0
KS_NJ,KS,NJ,1900.95405667567,0
KS_NM,KS,NM,982.400621606583,0
KS_NV,KS,NV,1743.78440400977,0
KS_NY,KS,NY,1886.10715380354,0
KS_OH,KS,OH,1196.17330357469,0
KS_OK,KS,OK,320.850462085055,0
KS_OR,KS,OR,2272.79162390517,0
KS_PA,KS,PA,1682.09025618421,0
KS_RI,KS,RI,2152.29249077599,0
KS_SC,KS,SC,1469.38264876447,0
KS_SD,KS,SD,653.495864138222,0
KS_TN,KS,TN,943.446393919875,0
KS_TX,KS,TX,845.621350358677,0
KS_UT,KS,UT,1345.43280931565,0
KS_VA,KS,VA,1631.40628474452,0
KS_VT,KS,VT,2066.08896369603,0
KS_WA,KS,WA,2263.54338769313,0
KS_WI,KS,WI,854.105428483051,0
KS_WV,KS,WV,1366.34355253022,0
KS_WY,KS,WY,1009.15975263653,0
KY_LA,KY,LA,978.271100059759,0
KY_MA,KY,MA,1280.27587098935,0
KY_MD,KY,MD,750.040582076837,0
KY_ME,KY,ME,1484.72128772176,0
KY_MI,KY,MI,568.595045714508,0
KY_MN,KY,MN,1074.45091203944,0
KY_MO,KY,MO,612.764478073212,0
KY_MS,KY,MS,703.390704348919,0
KY_MT,KY,MT,2351.95831019447,0
KY_NC,KY,NC,559.49885542492,0
KY_ND,KY,ND,1562.32038226166,0
KY_NE,KY,NE,1100.91061875725,0
KY_NH,KY,NH,1306.59061643917,0
KY_NJ,KY,NJ,977.103322506578,0
KY_NM,KY,NM,1924.84884913856,0
